Year,Month,EFPG_name,EFPG_code,Metroregion_name,Metroregion_code,Purchase_dollars_wtd,Purchase_grams_wtd,Purchase_dollars_unwtd,Purchase_grams_unwtd,Number_stores,Unit_value_mean_wtd,Unit_value_se_wtd,Unit_value_mean_unwtd,Price_index_GEKS
2012,1,Whole-grain breakfast cereal,74000,National,0,652907012,92397172743,427321384,61146996307,54849,0.707,0.0010,0.699,1.002122598
2012,2,Whole-grain breakfast cereal,74000,National,0,589958768,84168040269,399831731,57673647874,54847,0.701,0.0010,0.693,1.001865802
2012,3,Whole-grain breakfast cereal,74000,National,0,598022180,85586177381,417350440,60208349614,54780,0.699,0.0010,0.693,1.002907393
2012,4,Whole-grain breakfast cereal,74000,National,0,548171453,77131227091,382572977,54174476368,54792,0.711,0.0009,0.706,1.01118032
2012,5,Whole-grain breakfast cereal,74000,National,0,560558599,78653315621,393875239,55714026383,54732,0.713,0.0011,0.707,1.021936516
2012,6,Whole-grain breakfast cereal,74000,National,0,553461924,78339435182,386833845,55176802611,54838,0.706,0.0010,0.701,1.016936519
2012,7,Whole-grain breakfast cereal,74000,National,0,585159128,82249432295,409850622,57980641500,55135,0.711,0.0010,0.707,1.025739277
2012,8,Whole-grain breakfast cereal,74000,National,0,613794426,87682949556,430778271,61957156484,55029,0.7,0.0009,0.695,1.000602039
2012,9,Whole-grain breakfast cereal,74000,National,0,562731872,80139641115,393696286,56391841924,55008,0.702,0.0010,0.698,0.997657599
2012,10,Whole-grain breakfast cereal,74000,National,0,573072451,81336988191,399547773,56933303511,55035,0.705,0.0011,0.702,0.995641308
2012,11,Whole-grain breakfast cereal,74000,National,0,523074077,74525212099,360777193,51755623840,55138,0.702,0.0010,0.697,1.001871342
2012,12,Whole-grain breakfast cereal,74000,National,0,614128822,87058435986,415323217,59475353650,56014,0.705,0.0008,0.698,1.018286583
2013,1,Whole-grain breakfast cereal,74000,National,0,629464758,89452696970,411171620,59208047566,53683,0.704,0.0010,0.694,0.997582386
2013,2,Whole-grain breakfast cereal,74000,National,0,559249477,78929775101,368331372,52519777256,53795,0.709,0.0011,0.701,1.007687562
2013,3,Whole-grain breakfast cereal,74000,National,0,598842408,84266767017,401279640,57120411987,53901,0.711,0.0010,0.703,1.01744526
2013,4,Whole-grain breakfast cereal,74000,National,0,561070727,79372588526,373800210,53443144277,53953,0.707,0.0010,0.699,1.00962027
2013,5,Whole-grain breakfast cereal,74000,National,0,552895589,77216897526,371725540,52339295933,53936,0.716,0.0009,0.71,1.032859423
2013,6,Whole-grain breakfast cereal,74000,National,0,557224079,78283875550,374004470,53102918242,53873,0.712,0.0008,0.704,1.017295116
2013,7,Whole-grain breakfast cereal,74000,National,0,591346967,82626874711,397035838,56255359310,53955,0.716,0.0008,0.706,1.013291052
2013,8,Whole-grain breakfast cereal,74000,National,0,610455236,86300006394,410221481,58544981827,53974,0.707,0.0009,0.701,1.004097449
2013,9,Whole-grain breakfast cereal,74000,National,0,564013932,79297370140,381737423,54105901882,54116,0.711,0.0009,0.706,0.99539563
2013,10,Whole-grain breakfast cereal,74000,National,0,574917366,81115079979,388437051,55406608982,53958,0.709,0.0010,0.701,0.995073581
2013,11,Whole-grain breakfast cereal,74000,National,0,532732522,75340760137,351832959,50377691519,54001,0.707,0.0011,0.698,1.003148711
2013,12,Whole-grain breakfast cereal,74000,National,0,523637129,73690655489,341997151,48844728989,54611,0.711,0.0012,0.7,1.012250921
2014,1,Whole-grain breakfast cereal,74000,National,0,619813260,87416960001,409892758,58323951105,55421,0.709,0.0009,0.703,0.996914729
2014,2,Whole-grain breakfast cereal,74000,National,0,560980560,79137377983,371566649,52688132076,55585,0.709,0.0008,0.705,1.001869354
2014,3,Whole-grain breakfast cereal,74000,National,0,604913783,85909032979,403205405,57686018823,55853,0.704,0.0009,0.699,0.996494242
2014,4,Whole-grain breakfast cereal,74000,National,0,549746618,77578933312,367527824,52211943513,55529,0.709,0.0008,0.704,0.99838335
2014,5,Whole-grain breakfast cereal,74000,National,0,545999233,77122308144,368991574,52429344082,55456,0.708,0.0008,0.704,1.001584803
2014,6,Whole-grain breakfast cereal,74000,National,0,541633581,76637780093,368183275,52498131002,55651,0.707,0.0009,0.701,1.004329119
2014,7,Whole-grain breakfast cereal,74000,National,0,564628194,79946937196,384476884,54882202316,55393,0.706,0.0011,0.701,1.000884984
2014,8,Whole-grain breakfast cereal,74000,National,0,578744379,82604880027,393993927,56816906609,55272,0.701,0.0010,0.693,0.991159061
2014,9,Whole-grain breakfast cereal,74000,National,0,551050180,77648306012,372697242,52947599811,55015,0.71,0.0009,0.704,0.992688249
2014,10,Whole-grain breakfast cereal,74000,National,0,567109671,80345180218,378984947,54198106340,55018,0.706,0.0010,0.699,0.991954906
2014,11,Whole-grain breakfast cereal,74000,National,0,520705611,72439245276,344022000,48510692266,54974,0.719,0.0011,0.709,1.014425038
2014,12,Whole-grain breakfast cereal,74000,National,0,521729831,72726142783,344735110,48790935842,56084,0.717,0.0011,0.707,1.016246445
2015,1,Whole-grain breakfast cereal,74000,National,0,702787514,97800615321,453660292,63956766212,57499,0.719,0.0008,0.709,0.991686967
