fdc_id,brand_owner,brand_name,subbrand_name,ingredients,not_a_significant_source_of,serving_size_grams,household_serving_fulltext,branded_food_category,market_country
1106132,"Dole Packaged Foods, LLC",,,"FRUIT IN JUICE (PEACHES, WHEAT GRAPE JUICE FROM CONCENTRATE [WATER, WHITE GRAPE, JUICE CONCENTRATE], LEMON JUICE FROM CONCENTRATE [WATER, LEMON JUICE CONCENTRATE], NATURAL FLAVORS, ASCORBIC ACID [TO PROMOTE COLOR RETENTION], AND CITRIC ACID), AND OATMEAL (OATS, CHICORY ROOT EXTRACT, WALNUTS, DRIED CANE SYRUP, NATURAL FLAVORS [CONTAINS MILK], CARRAGEENAN, SEA SALT, AND MIXED TOCOPHEROLS [TO MAINTAIN FRESHNESS]).",,92,1 CONTAINER,Cereal,United States
1106162,"Sprout Foods, Inc.",,,"ORGANIC CEREAL SHELL: ORGANIC CORN FLOUR, ORGANIC WHOLE WHEAT FLOUR, ORGANIC WHOLE OAT FLOUR, ORGANIC DRIED CANE SYRUP, ORGANIC BROWN RICE FLOUR, CALCIUM CARBONATE, SEA SALT, MIXED TOCOPHEROLS (NATURAL ANTI-OXIDANT). ORGANIC FRUIT AND VEGETABLE FILLING: ORGANIC FRUIT AND VEGETABLES (ORGANIC CONCENTRATED APPLE JUICE, ORGANIC CONCENTRATED APPLE PUREE, ORGANIC CONCENTRATED BLACKCURRANT JUICE, ORGANIC CONCENTRATED RED PLUM JUICE, ORGANIC CONCENTRATED BLACK CARROT JUICE, ORGANIC CONCENTRATED BLACKBERRY JUICE), ORGANIC VEGETABLE GLYCEROL, MALIC ACID, NATURAL FRUIT FLAVOR.",,21,1 PACKET,Cereal,United States
1106169,"B&G Foods North America, Inc. ",,,"WHEAT FARINA, SUGAR, WALNUTS, DRIED APPLES (APPLES, ASCORBIC ACID, CITRIC ACID), MODIFIED CORN STARCH, ACETYLATED MONOGLYCERIDES, CINNAMON, BROWN SUGAR, SALT, CALCIUM CARBONATE, NATURAL AND ARTIFICIAL FLAVORS, DEFATTED WHEAT GERM, GUAR GUM, FERRIC ORTHOPHOSPHATE, VITAMIN A PALMITATE, NIACIN, RIBOFLAVIN, PYRIDOXINE HYDROCHLORIDE, THIAMINE MONONITRATE, FOLIC ACID, BHT (TO PRESERVE FRESHNESS).",,65,1 CONTAINER,Cereal,United States
1106171,"Bob's Red Mill Natural Foods, Inc.",,,"GLUTEN FREE WHOLE GRAIN OATS, BROWN SUGAR, CANE SUGAR, CHIA SEED, FLAXSEED, SEA SALT, NATURAL MAPLE FLAVOR (MALTODEXTRIN, MODIFIED FOOD STARCH, CARAMEL COLOR, NATURAL FLAVORS).",,61,1 container,Cereal,United States
1106228,"Associated Wholesale Grocers, Inc.",,,100% WHOLE GRAIN ROLLED OATS.,,40,1/2 cup,Cereal,United States
1106265,Odlum Mills Limited,,,"WHOLE GRAIN ROLLED OATS, SUGAR, DRIED APPLES (TREATED WITH SODIUM SULFITE TO PROMOTE COLOR RETENTION), CONTAINS LESS THAN 2% OF: SALT, CALCIUM CARBONATE (A SOURCE OF CALCIUM), CINNAMON, GUAR GUM, CITRIC ACID, FERRIC PHOSPHATE (A SOURCE OF IRON), NATURAL FLAVOR, VITAMIN A PALMITATE, NIACINAMIDE*, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6)*, RIBOFLAVIN*, THIAMIN MONONITRATE*, FOLIC ACID*.OTHEREROTHERER",,35,1 PACKET,Cereal,United States
1106266,"Post Consumer Brands, LLC",,,"WHOLE GRAIN ROLLED OATS, SUGAR, FLAXSEED, NATURAL AND ARTIFICIAL FLAVOR, DEHYDRATED PEACHES, SALT, CITRIC ACID. VITAMINS & MINERALS: CALCIUM CARBONATE, FERRIC ORTHOPHOSPHATE (SOURCE OF IRON), ALPHA TOCOPHEROL ACETATE (VITAMIN E), NIACINAMIDE*, VITAMIN A PALMITATE, PYRIDOXINE HYDROCHLORIDE*, RIBOFLAVIN*, THIAMIN MONONITRATE*, FOLIC ACID*.",,35,1 POUCH,Cereal,United States
1106281,MICHELE'S,,,"ORGANIC ROLLED OATS, ORGANIC UNSWEETENED COCONUT, ORGANIC BROWN SUGAR, ORGANIC SEEDLESS RAISINS, SUNFLOWER SEEDS, WALNUTS, EXPELLER-PRESSED NON-GMO CANOLA OIL, FILTERED WATER, PURE VANILLA EXTRACT, SPICES, SEA SALT.",,28,0.25 cup,Cereal,United States
1106374,"Continental Mills, Inc. ",,,"WHITE DEGERMED GROUND CORN, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE (VITAMIN B1), RIBOFLAVIN (VITAMIN B2), FOLIC ACID.",,40,1/4 cup,Cereal,United States
1106424,Caporal Foods,,,"ROASTED WHOLE OATS. HONEY, BROWN SUGAR. RAISINS, SLICED ALMONDS, VEGETABLE OIL.",,113,4 ONZ,Cereal,United States
1106426,Golden Packaging Company,,,"ROLLED OATS, CRYSTALLIZED CANE JUICE, SOYBEAN OIL (NON-HYDROGENATED), HONEY, SILCED ALMONDS, MOLASSES.",,50,50 GRM,Cereal,United States
1106436,Garden of Light Inc.,,,"WHOLE GRAIN OATS, FLAX MEAL, CHIA SEEDS, QUINOA, AMARANTH.",,50,1 PACKET,Cereal,United States
1106438,"Post Consumer Brands, LLC",,,"CORN FLOUR, CANE SUGAR, DEGERMED CORN MEAL, WHOLE GRAIN OAT FLOUR, PEANUT BUTTER (PEANUTS, SALT), COCOA (PROCESSED WITH ALKALI), OAT HULL FIBER, RICE FLOUR, SEA SALT, CALCIUM CARBONATE, BAKING SODA, NATURAL FLAVOR, SUNFLOWER OIL, CARAMEL COLOR, TOCOPHEROLS (ANTIOXIDANTS TO MAINTAIN FRESHNESS).",,38,1 cup,Cereal,United States
1106513,Odlum Mills Limited,,,"WHOLE GRAIN ROLLED OATS, SUGAR, CONTAINS LESS THAN 2% OF: SALT, CALCIUM CARBONATE (A SOURCE OF CALCIUM), NATURAL FLAVOR, GUAR GUM, CARAMEL COLOR, FERRIC PHOSPHATE (A SOURCE OF IRON), VITAMIN A PALMITATE, NIACINAMIDE*, PYRIDOXINE HYDROCHLORIDE (VITAMIN B6)*, RIBOFLAVIN*, THIAMIN MONONITRATE*, FOLIC ACID*.",,43,1 PACKET,Cereal,United States
1106519,Cream of the West Inc.,,,HARD RED WHEAT. ,,48,0.25 cup,Cereal,United States
1106617,"B&G Foods North America, Inc. ",,,"WHEAT FARINA, SUGAR, CALCIUM CARBONATE, NATURAL FLAVORS, GUAR GUM, SALT, DEFATTED WHEAT GERM, DRY MOLASSES, FERRIC ORTHOPHOSPHATE, CARAMEL COLOR, VITAMIN A PALMITATE, NIACIN, CHOLECALCIFEROL, RIBOFLAVIN, PYRIDOXINE HYDROCHLORIDE, THIAMINE MONONITRATE, FOLIC ACID, BHT (TO PRESERVE FRESHNESS).",,35,1 PACKET,Cereal,United States
1106664,"Publix Super Markets, Inc.",,,"WHOLE GRAIN ROLLED OATS, SUGAR, DRIED APPLES (TREATED WITH SODIUM SULFITE TO PROMOTE COLOR RETENTION), CONTAINS LESS THAN 2% OF: SALT, CINNAMON, CALCIUM CARBONATE (A SOURCE OF CALCIUM), GUAR GUM, CITRIC ACID, FERRIC PHOSPHATE (A SOURCE OF IRON), NATURAL FLAVOR, VITAMIN A PALMITATE, NIACINAMIDE*, PYRIDOXINE HYDROCHLORIDE*, RIBOFLAVIN*, THIAMINE MONONITRATE*, FOLIC ACID*.",,35,1 PACKET,Cereal,United States
1106707,Garden of Light Inc.,,,"WHOLE GRAIN OATS, CANE SUGAR, FLAX MEAL, CHIA SEEDS, FREEZE DRIED BLUEBERRIES, NATURAL FLAVORS, QUINOA, AMARANTH, SEA SALT.",,50,1 PACKET,Cereal,United States
1106708,"Bob's Red Mill Natural Foods, Inc.",,,"WHOLE GRAIN OATS, RAISINS (RAISINS, SUNFLOWER OIL), ALMONDS, SUNFLOWER SEEDS, DRIED CRANBERRIES (CRANBERRIES, SUGAR, SUNFLOWER OIL), BROWN RICE CRISPS (RICE FLOUR, RICE BRAN, HONEY), DRIED APPLES, COCONUT, PUMPKIN SEEDS.",,29,1/4 cup,Cereal,United States
1106709,"Post Consumer Brands, LLC",,,"WHOLE WHEAT, WHOLE GRAIN OATS, EVAPORATED CANE SUGAR, DRIED CRANBERRIES (CRANBERRIES, EVAPORATED CANE SUGAR, VEGETABLE GLYCERIN, CITRIC ACID, SAFFLOWER OIL), WHEAT BRAN, NON-GMO CORN FLOUR, NON-GMO CORN BRAN, OAT HULL FIBER, BARLEY MALT EXTRACT, SEA SALT, OAT BRAN, NATURAL FLAVOR, FRUCTAN (NUTRAFLORA PREBIOTIC DIETARY FIBER), DRIED POMEGRANATE POWDER, BAKING SODA, ANNATTO (FOR COLOR), VITAMIN C (ASCORBIC ACID), VITAMIN D3.",,55,1 cup,Cereal,United States
1106838,Garden of Light Inc.,,,"WHOLE GRAIN OATS, CANE SUGAR, FLAX MEAL, NATURAL FLAVORS, CHIA SEEDS, MAPLE SUGAR, QUINOA, AMARANTH, SEA SALT.",,50,1 PACKET,Cereal,United States
1106919,CJK Foods,,,"ALMONDS, SUNFLOWER SEEDS, PUMPKIN SEEDS, RAISINS, MAPLE SYRUP, UNSWEETENED COCONUT CHIPS, CASHEWS, WALNUTS, COCONUT OIL, VANILLA EXTRACT, FLAX SEED, CINNAMON, SEA SALT.",,28,1/8 cup,Cereal,United States
1106920,Glencourt Inc.,,,"ORGANIC MILLED CORN, ORGANIC WHOLE GRAIN WHEAT, ORGANIC GRANOLA (ORGANIC WHOLE GRAIN OATS, ORGANIC CANE SUGAR, ORGANIC EXPELLER PRESSED CANOLA OIL, ORGANIC CRISP RICE (ORGANIC BROWN RICE, SEA SALT, ORGANIC BROWN RICE SYRUP), ORGANIC HONEY, ORGANIC CORN STARCH, ORGANIC VANILLA EXTRACT, SALT), ORGANIC CANE SUGAR, SEA SALT, ORGANIC NATURAL FLAVOR, TOCOPHEROLS (ANTIOXIDANTS TO MAINTAIN FRESHNESS).",,40,1 cup,Cereal,United States
1106924,Garden of Light Inc.,,,"MULTIGRAIN AND BEAN CRISPS (CORNMEAL, BROWN RICE, MILLET, CANE SUGAR, CORN STARCH, RICE EXTRACT, TEFF, CARAMELIZED PEAR JUICE CONCENTRATE, NAVY BEANS), CANE SUGAR, SUNFLOWER SEEDS, CANOLA OIL, INVERT CANE SUGAR, BRAZIL NUTS, FLAX SEEDS, SESAME SEEDS, DRIED BANANAS, DRIED COCONUT, NATURAL FLAVORS, SEA SALT.",,30,1/3 cup,Cereal,United States
1106926,"JH BIOTECH, INC.",,,"ORGANIC CORN, ORGANIC CANE SUGAR, SEA SALT.",,29,0.75 cup,Cereal,United States
1106927,GS1 Ireland,,,100% WHOLE GRAIN IRISH STEEL CUT OATS,,40,1/4 cup,Cereal,United States
1106928,"Whole Foods Market, Inc.",,,"ORGANIC CORN FLOUR, ORGANIC CANE SUGAR, ORGANIC PEANUT BUTTER (ORGANIC DRY ROASTED PEANUTS, SALT), ORGANIC WHOLE GRAIN OAT FLOUR, ORGANIC RICE FLOUR, SEA SALT, ORGANIC EXPELLER PRESSED SUNFLOWER SEED OIL, CALCIUM CARBONATE, BAKING SODA (SODIUM BICARBONATE), MIXED TOCOPHEROLS (ADDED TO MAINTAIN FRESHNESS).",,38,1 1/3 cup,Cereal,United States
1106929,"Whole Foods Market, Inc.",,,"ORGANIC CORN FLOUR, ORGANIC WHOLE GRAIN CORN FLOUR, ORGANIC CANE SUGAR, ORGANIC PEANUT BUTTER (ORGANIC PEANUTS, SALT), ORGANIC WHOLE GRAIN OAT FLOUR, ORGANIC COCOA POWDER (PROCESSED WITH ALKALI)*, ORGANIC RICE FLOUR, ORGANIC OAT HULL FIBER, SEA SALT, CALCIUM CARBONATE, NATURAL FLAVOR, BAKING SODA (SODIUM BICARBONATE), MIXED TOCOPHEROLS ADDED TO MAINTAIN FRESHNESS, ORGANIC MALTED BARLEY EXTRACT.",,40,1 1/4 cup,Cereal,United States
1106930,"Whole Foods Market, Inc.",,,"TEXTURED SOY PROTEIN, BROWN RICE SYRUP, WHOLE ROLLED OATS, CANE SUGAR, WHEAT BRAN, PUFFED WHOLE WHEAT, ALMONDS, WHOLE OAT FLOUR, PUFFED BROWN RICE, INULIN, HONEY, SOY FLOUR, FLAXSEED, OAT FIBER, EXPELLER PRESSED CANOLA OIL, FLAXSEED MEAL, SALT, NATURAL FLAVOR, MIXED TOCOPHEROLS (ADDED TO MAINTAIN FRESHNESS).",,58,3/4 cup,Cereal,United States
1106931,"Whole Foods Market, Inc.",,,"ORGANIC RICE FLOUR, ORGANIC CANE SUGAR, ORGANIC TAPIOCA SYRUP, ORGANIC COCOA POWDER (PROCESSED WITH ALKALI), ORGANIC EXPELLER PRESSED SUNFLOWER SEED OIL, NATURAL FLAVOR, SALT, ORGANIC SOY LECITHIN (EMULSIFIER).",,31,3/4 cup,Cereal,United States
1106932,"Whole Foods Market, Inc.",,,"ORGANIC WHOLE GRAIN OAT FLOUR, ORGANIC WHEAT STARCH, ORGANIC CANE SUGAR, SEA SALT, CALCIUM CARBONATE, MIXED TOCOPHEROLS (ADDED TO MAINTAIN FRESHNESS).",,39,1 2/3 cup,Cereal,United States
1106933,"Whole Foods Market, Inc.",,,"ORGANIC WHOLE GRAIN ROLLED OATS, ORGANIC CANE SUGAR, ORGANIC CRISP BROWN RICE (ORGANIC BROWN RICE, ORGANIC BROWN RICE SYRUP, SALT), ORGANIC EXPELLER PRESSED CANOLA OIL, ORGANIC RAISINS (ORGANIC RAISINS, ORGANIC EXPELLER PRESSED SUNFLOWER SEED OIL), ORGANIC WHOLE OAT FLOUR, ORGANIC BROWN RICE SYRUP, ORGANIC ALMONDS, ORGANIC HONEY, ORGANIC MOLASSES, ORGANIC CINNAMON, ORGANIC VANILLA EXTRACT, SALT, MIXED TOCOPHEROLS (ADDED TO MAINTAIN FRESHNESS).",,57,3/4 cup,Cereal,United States
1107124,"B&G Foods North America, Inc. ",,,"WHEAT FARINA, CALCIUM CARBONATE, SALT, DEFATTED WHEAT GERM, GUAR GUM, NATURAL FLAVOR, FERRIC ORTHOPHOSPHATE, VITAMIN A PALMITATE, NIACIN, RIBOFLAVIN, PYRIDOXINE HYDROCHLORIDE, THIAMINE MONONITRATE, FOLIC ACID, BHT (TO PRESERVE FRESHNESS).",,28,1 PACKET,Cereal,United States
1107241,"Meijer, Inc.",,,ORGANIC STEEL CUT OATS.,,40,1/4 cup,Cereal,United States
1107320,Odlum Mills Limited,,,WHOLE GRAIN OATS.,,40,1/2 cup,Cereal,United States
1107425,Steve's PaleoGoods ,,,"ALMONDS, SHREDDED COCONUT, PUMPKIN SEEDS, SUNFLOWER SEEDS, HONEY, COCONUT OIL, PUMPKIN, BAKING SODA, CINNAMON, GINGER, NUTMEG, CLOVES.",,43,1.5 ONZ,Cereal,United States
1107478,"Topco Associates, Inc.",,,"ORGANIC WHOLE GRAIN WHEAT, ORGANIC WHEAT BRAN, ORGANIC CANE SUGAR, ORGANIC BARLEY MALT EXTRACT, SEA SALT.",,40,1 cup,Cereal,United States
1107489,"Post Consumer Brands, LLC",,,"WHOLE GRAIN OAT FLOUR, SUGAR, CORN FLOUR, MARSHMALLOWS (SUGAR, MODIFIED CORN STARCH, CORN SYRUP, DEXTROSE, GELATIN, BLUEBERRY, PUMPKIN AND CARROT CONCENTRATES FOR COLOR, SODIUM HEXAMETAPHOSPHATE, NATURAL FLAVOR), CALCIUM CARBONATE, SALT.",,40,1 cup,Cereal,United States
1107506,"Post Consumer Brands, LLC",,,"WHOLE OAT FLOUR, WHOLE WHEAT FLOUR, EVAPORATED CANE SUGAR, BARLEY MALT EXTRACT, UNSULFURED MOLASSES, BAKING SODA, SEA SALT, VITAMIN C (ASCORBIC ACID), TOCOPHEROLS (ANTIOXIDANTS TO PRESERVE FRESHNESS).",,55,1 cup,Cereal,United States
1107569,"Dr. McDougall's Right Foods, Inc.",,,"ORGANIC GLUTEN FREE THICK CUT OLD FASHIONED ROLLED OATS, ORGANIC CANE SUGAR, ORGANIC MILLED FLAX, SEA SALT.",,40,1 PACKET,Cereal,United States
