fdc_id,data_type,description
1106169,branded_food,"CINNA-APPLE WALNUT INSTANT HOT CEREAL, CINNA-APPLE WALNUT"
1106438,branded_food,"PEANUT BUTTER & CHOCOLATE CEREAL, PEANUT BUTTER & CHOCOLATE"
1106617,branded_food,"MAPLE BROWN SUGAR INSTANT HOT CEREAL, MAPLE BROWN SUGAR"
1106708,branded_food,"EUROPEAN STYLE MUESLI GLUTEN FREE HOT OR COLD CEREAL, EUROPEAN STYLE MUESLI"
1106709,branded_food,"CRANBERRY CEREAL, CRANBERRY"
1106920,branded_food,"HONEY CRUNCH 'N OATS ORGANIC CEREAL A BLEND OF CORN FLAKES, WHEAT FLAKES, AND GRANOLA WITH OATS AND HONEY, HONEY CRUNCH 'N OATS"
1106926,branded_food,ORGANIC FROSTED CORN FLAKES CEREAL
1106931,branded_food,"ORGANIC SWEETENED CRISPY RICE FLOUR CEREAL WITH ORGANIC COCOA & NATURAL CHOCOLATE FLAVOR, COCOA & CHOCOLATE"
1106932,branded_food,MORNING O'S ORGANIC WHOLE GRAIN OAT CEREAL
1107040,branded_food,"LOW FAT CEREAL BARS, APPLE CINNAMON"
1107124,branded_food,"ORIGINAL FLAVOR INSTANT HOT CEREAL, ORIGINAL"
1107478,branded_food,"BRAN FLAKES CEREAL, BRAN FLAKES"
1107489,branded_food,"SWEETENED WHOLE GRAIN OAT CEREAL WITH MARSHMALLOW PIECES, MALLOW OATS"
1107506,branded_food,"ORIGINAL CEREAL, ORIGINAL"
1107664,branded_food,"OAT CRUNCH SWEETENED MULTIGRAIN CEREAL, OAT CRUNCH"
1107812,branded_food,"BANANAS & CREAM INSTANT HOT CEREAL, BANANAS & CREAM"
1107829,branded_food,"HONEY & OATS CORN FLAKES, WHEAT FLAKES AND GRANOLA MEDLEY CEREAL, HONEY & OATS"
1108129,branded_food,"OAT CRUNCH SWEETENED MULTIGRAIN CEREAL WITH CINNAMON, CINNAMON"
1108131,branded_food,"FROSTED SHREDDED WHEAT LIGHTLY SWEETENED WHOLE GRAIN CEREAL, FROSTED"
1108132,branded_food,"SWEETENED MULTIGRAIN CEREAL, SWEETENED MULTIGRAIN"
1108134,branded_food,"HONEY NUT O'S SWEETENED TOASTED OAT CEREAL, HONEY NUT"
1108306,branded_food,"WHEAT SQUARES GOLDEN BROWN SQUARES OF TOASTED WHOLE GRAIN WHEAT CEREAL, WHEAT SQUARES"
1108307,branded_food,"CINNAMON FROSTED WHOLE GRAIN SHREDDED WHEAT CEREAL WITH ONYX SORGHUM, CINNAMON FROSTED"
1108590,branded_food,"HONEY NUT SCOOTERS CEREAL, HONEY NUT SCOOTERS"
1108591,branded_food,"FROSTED FLAKES CEREAL, FROSTED FLAKES"
1108592,branded_food,"TOOTIE FRUITIES CEREAL, TOOTIE FRUITIES"
1108593,branded_food,"GOLDEN PUFFS CEREAL, GOLDEN PUFFS"
1108594,branded_food,"CINNAMON TOASTERS CEREAL, CINNAMON TOASTERS"
1108595,branded_food,"FRUITY DYNO-BITES CEREAL, FRUITY DYNO-BITES"
1108596,branded_food,"HONEY NUT SCOOTERS CEREAL, HONEY NUT SCOOTERS"
1108597,branded_food,"HONEY BUZZERS CEREAL, HONEY BUZZERS"
1108598,branded_food,"RAISIN BRAN CEREAL, RAISIN BRAN"
1108606,branded_food,"BERRY COLOSSAL CRUNCH CEREAL, BERRY"
1108607,branded_food,"SWEETENED CHOCOLATE FLAVORED CORN PUFF CEREAL WITH REAL COCOA, SWEETENED CHOCOLATE"
1108608,branded_food,"TOOTIE FRUITIES CEREAL, TOOTIE FRUITIES"
