fdc_id,nutrient_id,amount
1105904,1257,0
1105904,1293,53.33
1105904,1253,0
1105904,1092,0
1105904,1008,867
1105904,1089,0
1105904,1162,0
1105904,1258,13.33
1105904,1087,0
1105904,1292,20
1105904,1093,0
1105904,1104,0
1105904,2000,0
1105904,1079,0
1105904,1110,0
1105904,1005,0
1105904,1004,93.33
1105904,1003,0
1105905,1258,0
1105905,2000,0.42
1105905,1079,0
1105905,1005,0.42
1105905,1004,0
1105905,1008,4
1105905,1253,0
1105905,1257,0
1105905,1093,346
1105905,1089,0
1105905,1092,0
1105905,1003,0.83
1105905,1110,0
1105905,1087,0
1105906,1004,5.31
1105906,1005,6.12
1105906,1092,65
1105906,1253,6
1105906,1079,0.4
1105906,1089,0.24
1105906,1257,0
1105906,1003,2.45
1105906,1110,0
1105906,2000,0.41
1105906,1258,1.02
1105906,1008,82
1105906,1087,16
1105906,1093,363
1105907,1110,0
1105907,1258,2.45
1105907,1093,322
1105907,1253,10
1105907,1079,0.4
1105907,1092,65
1105907,1089,0.16
1105907,1257,0
1105907,1003,1.22
1105907,1005,5.31
1105907,2000,0.82
1105907,1008,82
1105907,1087,33
1105907,1004,6.12
1105908,1089,0
1105908,1253,0
1105908,1079,0
1105908,2000,0.42
1105908,1258,0
1105908,1005,0.42
1105908,1092,12
1105908,1008,4
1105908,1004,0
1105908,1087,4
1105908,1257,0
1105908,1110,0
1105908,1093,15
1105908,1003,0.83
1105909,1005,10.61
1105909,1089,0.82
1105909,1087,24
1105909,1258,0
1105909,1004,0.61
1105909,1110,0
1105909,1079,2.4
1105909,1257,0
1105909,1093,306
1105909,1003,3.67
1105909,1092,155
1105909,1253,4
1105909,2000,1.63
1105909,1008,61
1105910,1110,0
1105910,1087,0
1105910,2000,0.43
1105910,1257,0
1105910,1079,0
1105910,1004,0
1105910,1003,0.85
1105910,1253,0
1105910,1005,0.43
1105910,1093,353
1105910,1092,13
1105910,1258,0
1105910,1089,0.09
1105910,1008,4
1105911,1004,3.33
1105911,1079,2.5
1105911,1093,358
1105911,1258,0.42
1105911,1110,0
1105911,2000,3.33
1105911,1253,0
1105911,1008,58
1105911,1087,33
1105911,1003,1.67
1105911,1005,5.83
1105911,1089,0.3
1105911,1257,0
1105911,1092,175
1105912,1079,0.8
1105912,1005,15
1105912,1008,75
1105912,1089,0.33
1105912,1292,0
1105912,1258,0
1105912,1293,0.42
1105912,1087,17
1105912,1093,342
1105912,1003,1.67
1105912,1257,0
1105912,2000,9.17
1105912,1092,517
1105912,1253,0
1105912,1110,0
1105912,1004,1.25
1105912,1162,9.2
1105913,1008,87
1105913,1110,0
1105913,1292,1.19
1105913,1186,22
1105913,1190,36
1105913,1166,0.079
1105913,1003,3.57
1105913,2000,3.97
1105913,1293,0.6
1105913,1257,0
1105913,1004,2.78
1105913,1165,0
1105913,1092,147
1105913,1005,11.51
1105913,1079,1.2
1105913,1258,0.79
1105913,1253,10
1105913,1093,238
1105913,1089,0.63
1105913,1087,12
1105914,1008,125
1105914,2000,11.51
1105914,1257,0
1105914,1258,0.04
1105914,1004,0.35
1105914,1003,5.12
1105914,1087,43
1105914,1005,25.88
1105914,1093,379
1105914,1092,297
1105914,1089,1.52
1105914,1079,3.5
1105914,1253,0
1105915,1008,105
1105915,1089,1.2
1105915,1003,5.78
1105915,1257,0
1105915,1093,278
1105915,1258,0.17
1105915,1005,17.55
1105915,1087,17
1105915,1253,0
1105915,1079,3.4
1105915,2000,2.98
1105915,1004,1.68
1105915,1092,200
1105916,1258,0.11
1105916,1253,0
1105916,1008,129
1105916,1079,3.6
1105916,1004,0.75
1105916,1089,1.5
1105916,1093,437
1105916,1003,5.23
1105916,2000,11.58
1105916,1005,26.12
1105916,1087,43
1105916,1092,300
1105916,1257,0
1105917,1190,175
1105917,1110,0
1105917,1253,0
1105917,1257,0
1105917,1003,8.77
1105917,1292,0.88
1105917,1087,35
1105917,1093,632
1105917,1092,70
1105917,2000,1.75
1105917,1165,0
1105917,1293,0.88
1105917,1166,0.281
1105917,1258,0
1105917,1008,263
1105917,1186,105
1105917,1004,2.63
1105917,1089,3.16
1105917,1079,1.8
1105917,1005,50.88
1105918,1110,0
1105918,1257,0
1105918,1003,10
1105918,1004,18
1105918,1079,2
1105918,1093,600
1105918,1092,100
1105918,1089,2.6
1105918,1253,10
1105918,1005,38
1105918,1258,7
1105918,1087,120
1105918,1008,360
1105918,2000,2
1105919,1110,0
1105919,1093,358
1105919,1004,0
1105919,1079,0
1105919,1089,0.17
1105919,1087,8
1105919,1005,0.42
1105919,1003,0.42
1105919,1257,0
1105919,1253,0
1105919,2000,0.42
1105919,1008,4
1105919,1092,17
1105919,1258,0
1105920,1253,36
1105920,1257,0
1105920,1079,0
1105920,1089,3.21
1105920,2000,46.43
1105920,1093,321
1105920,1003,3.57
1105920,1087,71
1105920,1092,179
1105920,1258,5.36
1105920,1005,78.57
1105920,1004,12.5
1105920,1110,0
1105920,1008,464
1105921,1253,0
1105921,1292,0.88
1105921,1110,0
1105921,1003,8.77
1105921,1092,70
1105921,1186,96
1105921,1008,246
1105921,1089,2.98
1105921,1005,47.37
1105921,1165,0
1105921,1004,1.75
1105921,2000,1.75
1105921,1293,0
1105921,1258,0
1105921,1190,167
1105921,1079,1.8
1105921,1166,0.263
1105921,1087,18
1105921,1093,579
1105921,1257,0
1105922,1089,7.33
1105922,1093,350
1105922,1293,5
1105922,1292,6.67
1105922,1008,467
1105922,1257,0
1105922,1253,0
1105922,1092,400
1105922,1005,70
1105922,2000,33.33
1105922,1110,0
1105922,1003,6.67
1105922,1079,3.3
1105922,1258,5
1105922,1087,33
1105922,1004,16.67
1105923,1292,1.1
1105923,1003,8.79
1105923,1110,0
1105923,1166,0.286
1105923,1092,77
1105923,1190,181
1105923,1089,3.52
1105923,1008,253
1105923,1258,0
1105923,1293,1.1
1105923,1087,22
1105923,1079,2.2
1105923,1004,2.2
1105923,1253,0
1105923,2000,1.1
1105923,1093,495
1105923,1005,50.55
1105923,1257,0
1105923,1186,104
1105923,1165,0
1105924,1257,0
1105924,1253,0
1105924,1110,0
1105924,1089,1.01
1105924,1093,258
1105924,1003,2.25
1105924,1079,1.1
1105924,1008,281
1105924,1005,34.83
1105924,1092,67
1105924,2000,16.85
1105924,1087,0
1105924,1258,7.87
1105924,1004,14.61
1105925,2000,8.77
1105925,1186,44
1105925,1190,79
1105925,1293,0.88
1105925,1253,0
1105925,1003,8.77
1105925,1258,0
1105925,1110,0
1105925,1165,0
1105925,1257,0
1105925,1005,52.63
1105925,1292,0
1105925,1004,1.75
1105925,1008,263
1105925,1079,7
1105925,1089,3.16
1105925,1166,0.404
1105925,1093,614
1105925,1092,228
1105925,1087,18
1105926,1258,0
1105926,1293,0.88
1105926,1079,3.5
1105926,1253,0
1105926,1003,8.77
1105926,1092,88
1105926,1190,149
1105926,1093,842
1105926,1186,88
1105926,1292,2.63
1105926,1089,3.16
1105926,1004,4.39
1105926,1005,45.61
1105926,1166,0.246
1105926,1110,0
1105926,1257,0
1105926,1165,0
1105926,1087,35
1105926,2000,1.75
1105926,1008,263
1105927,1093,422
1105927,1089,2.44
1105927,1110,0
1105927,1253,11
1105927,1257,0
1105927,1258,4.44
1105927,1008,333
1105927,1005,33.33
1105927,1079,2.2
1105927,1087,156
1105927,1003,11.11
1105927,1004,17.78
1105927,2000,2.22
1105927,1092,67
1105928,1190,250
1105928,1008,467
1105928,1110,0
1105928,1092,167
1105928,1165,0
1105928,1087,133
1105928,1005,66.67
1105928,1257,0
1105928,1258,3.33
1105928,1166,0.567
1105928,1003,10
1105928,1093,833
1105928,1253,33
1105928,1293,3.33
1105928,1292,6.67
1105928,1079,3.3
1105928,1089,4.33
